Date,Summary,Precipitation,Temperature,ApparentTemp,Humidity,WindSpeed,WindBearing,Visibility,Pressure,DailySummary
1/1/2016,Clear,snow,-6.361111111,-9.361111111,0.82,6.0858,121,15.8263,1032.01,Mostly cloudy starting in the morning.
1/2/2016,Partly Cloudy,snow,-5.105555556,-5.105555556,0.96,3.22,160,9.5634,1027.51,Partly cloudy until night.
1/3/2016,Mostly Cloudy,snow,-4.566666667,-9.866666667,0.72,14.2968,61,14.9086,1023.53,Mostly cloudy throughout the day.
1/4/2016,Overcast,snow,-7.994444444,-15.21111111,0.78,19.4971,179,11.9784,1015.48,Foggy in the afternoon.
1/5/2016,Overcast,snow,-5.672222222,-5.672222222,0.88,3.0751,281,8.05,1002.53,Foggy starting in the morning continuing until evening.
1/6/2016,Overcast,snow,-1.238888889,-5.1,0.92,11.27,60,5.8604,1007.5,Foggy starting in the afternoon.
1/7/2016,Foggy,snow,-0.022222222,-3.511111111,0.96,10.7548,351,1.288,997.99,Foggy until afternoon.
1/8/2016,Foggy,snow,-4.672222222,-7.444444444,1,6.1502,210,0.1932,1005.39,Foggy until evening.
1/9/2016,Foggy,snow,-0.005555556,-4.188888889,0.96,13.9104,150,2.5277,1012.66,Foggy starting overnight continuing until evening.
1/10/2016,Overcast,rain,3.15,1.6,0.96,6.0375,157,5.8765,1006.92,Foggy starting in the evening.
1/11/2016,Foggy,rain,2.655555556,-0.327777778,1,10.8836,139,0.6601,1005.29,Foggy overnight.
1/12/2016,Breezy and Overcast,rain,8.661111111,4.816666667,0.94,30.3485,299,14.9086,993.96,Mostly cloudy throughout the day.
1/13/2016,Foggy,rain,2.183333333,0.294444444,0.87,6.5849,226,3.1878,1005.72,Partly cloudy overnight.
1/14/2016,Partly Cloudy,rain,3.25,-0.861111111,0.85,18.0642,271,16.1,1015.6,Mostly cloudy starting overnight.
1/15/2016,Overcast,rain,2.244444444,-1.411111111,0.89,13.7655,140,15.8263,1011.66,Foggy in the morning.
1/16/2016,Partly Cloudy,snow,-0.694444444,-5.144444444,0.92,14.4578,281,16.1,1011.74,Mostly cloudy until night.
1/17/2016,Mostly Cloudy,snow,-0.605555556,-6.577777778,0.76,24.311,9,15.8263,1015.21,Overcast throughout the day and breezy in the evening.
1/18/2016,Overcast,snow,-3.377777778,-10.24444444,0.79,25.116,11,16.1,1016.33,Mostly cloudy throughout the day.
1/19/2016,Mostly Cloudy,snow,-3.716666667,-6.411111111,0.79,6.2951,320,15.8263,1021.05,Mostly cloudy until night.
1/20/2016,Partly Cloudy,snow,-5.044444444,-7.983333333,0.81,6.3917,124,16.0517,1021.46,Mostly cloudy throughout the day.
1/21/2016,Overcast,snow,-3.883333333,-3.883333333,0.87,3.4132,232,6.2951,1019.7,Mostly cloudy throughout the day.
1/22/2016,Mostly Cloudy,snow,-6.894444444,-10.17777778,0.88,6.5044,309,14.9086,1032.15,Partly cloudy until evening.
1/23/2016,Foggy,snow,-7.494444444,-7.494444444,1,4.6046,140,0.7728,1038.01,Foggy until morning.
1/24/2016,Overcast,snow,-3.844444444,-6.544444444,0.88,6.2629,131,3.9284,1035.1,Foggy in the morning.
1/25/2016,Overcast,snow,-1.666666667,-4.072222222,0.96,6.3595,141,3.4454,1035.48,Foggy starting in the afternoon.
1/26/2016,Foggy,rain,1.133333333,-0.716666667,1,6.0375,193,0.322,1027.02,Foggy until night.
1/27/2016,Foggy,rain,1.577777778,-1.711111111,1,11.27,140,0.161,1029.68,Foggy throughout the day.
1/28/2016,Foggy,snow,-0.6,-2.766666667,1,6.1663,180,0.161,1025.48,Foggy until morning.
1/29/2016,Partly Cloudy,rain,3.8,2.194444444,1,6.4883,253,3.6064,1027.35,Foggy starting in the evening.
1/30/2016,Foggy,snow,-1.644444444,-3.944444444,1,6.118,171,0.805,1032.07,Foggy until afternoon.
1/31/2016,Partly Cloudy,rain,7.961111111,4.761111111,0.78,20.5597,191,15.134,1016.3,Overcast throughout the day.
2/1/2016,Overcast,rain,3.311111111,0.411111111,1,11.109,181,6.1985,1017.78,Foggy starting in the evening.
2/2/2016,Foggy,rain,6.777777778,5.616666667,0.99,6.5527,178,0.9338,1024.02,Foggy overnight.
2/3/2016,Overcast,rain,7.222222222,5.194444444,0.99,10.7226,173,8.1305,1018.23,Overcast throughout the day and breezy overnight.
2/4/2016,Breezy and Overcast,rain,3.866666667,-1.461111111,0.96,30.59,340,4.7495,1013.45,Mostly cloudy throughout the day.
2/5/2016,Partly Cloudy,rain,0.511111111,-3.583333333,0.85,14.0392,281,16.1,1021.25,Partly cloudy until evening.
2/6/2016,Clear,snow,-1.272222222,-5.055555556,0.88,10.8997,270,14.9086,1030.13,Partly cloudy starting overnight.
2/7/2016,Partly Cloudy,rain,1.088888889,-2.9,0.82,14.168,140,16.0517,1025.95,Partly cloudy throughout the day.
2/8/2016,Partly Cloudy,rain,3.177777778,-0.794444444,0.77,16.9533,160,16.1,1018.56,Mostly cloudy throughout the day.
2/9/2016,Overcast,rain,7.85,5.366666667,0.79,14.3451,161,16.0517,1014.98,Mostly cloudy throughout the day.
2/10/2016,Overcast,rain,8.4,5.35,0.79,20.2377,151,16.0517,1003.5,Mostly cloudy throughout the day and breezy in the morning.
2/11/2016,Partly Cloudy,rain,3.866666667,0.022222222,0.76,17.2753,251,16.1,1001.98,Partly cloudy until evening.
2/12/2016,Partly Cloudy,snow,-0.672222222,-0.672222222,0.92,0.8533,15,15.8263,1011.22,Mostly cloudy starting overnight.
2/13/2016,Mostly Cloudy,rain,6.016666667,1.616666667,0.8,27.4505,150,16.0517,1001.77,Mostly cloudy throughout the day.
2/14/2016,Partly Cloudy,rain,3.194444444,1.544444444,0.96,6.3595,169,9.8532,998.56,Mostly cloudy throughout the day.
2/15/2016,Partly Cloudy,rain,9.861111111,7.905555556,0.86,13.8782,161,16.1,998.05,Foggy starting in the morning continuing until afternoon.
2/16/2016,Partly Cloudy,rain,5.488888889,5.488888889,1,3.5581,227,3.9767,1018.02,Foggy overnight.
2/17/2016,Mostly Cloudy,rain,5.511111111,1.677777778,0.82,20.4148,31,8.372,1029.4,Mostly cloudy throughout the day.
2/18/2016,Overcast,rain,6.083333333,6.083333333,1,3.0268,157,11.6725,1021.48,Overcast until night.
2/19/2016,Overcast,rain,6.666666667,5.527777778,0.93,6.4239,112,7.9051,1013.5,Mostly cloudy throughout the day.
